day,month,Year,tg,Lat,Lon
1,1,1950,7.58,41.153,-7.623
2,1,1950,7.17,41.153,-7.623
3,1,1950,7.5499997,41.153,-7.623
4,1,1950,8.69,41.153,-7.623
5,1,1950,5.06,41.153,-7.623
6,1,1950,4.14,41.153,-7.623
7,1,1950,5.08,41.153,-7.623
8,1,1950,10.69,41.153,-7.623
9,1,1950,8.9,41.153,-7.623
10,1,1950,8.11,41.153,-7.623
11,1,1950,7.46,41.153,-7.623
12,1,1950,7.69,41.153,-7.623
13,1,1950,7.3599997,41.153,-7.623
14,1,1950,8.2699995,41.153,-7.623
15,1,1950,7.8399997,41.153,-7.623
16,1,1950,5.99,41.153,-7.623
17,1,1950,6.0099998,41.153,-7.623
18,1,1950,4.65,41.153,-7.623
19,1,1950,3.55,41.153,-7.623
20,1,1950,1.75,41.153,-7.623
21,1,1950,2.24,41.153,-7.623
22,1,1950,4.41,41.153,-7.623
23,1,1950,4.41,41.153,-7.623
24,1,1950,2.6399999,41.153,-7.623
25,1,1950,3.74,41.153,-7.623
26,1,1950,6.75,41.153,-7.623
27,1,1950,8.0,41.153,-7.623
28,1,1950,7.29,41.153,-7.623
29,1,1950,8.24,41.153,-7.623
30,1,1950,7.2799997,41.153,-7.623
31,1,1950,5.75,41.153,-7.623
1,2,1950,4.61,41.153,-7.623
2,2,1950,6.92,41.153,-7.623
3,2,1950,7.6299996,41.153,-7.623
4,2,1950,5.2999997,41.153,-7.623
5,2,1950,7.97,41.153,-7.623
6,2,1950,7.22,41.153,-7.623
7,2,1950,7.23,41.153,-7.623
8,2,1950,8.2699995,41.153,-7.623
9,2,1950,6.99,41.153,-7.623
10,2,1950,7.08,41.153,-7.623
11,2,1950,6.93,41.153,-7.623
12,2,1950,5.5499997,41.153,-7.623
13,2,1950,6.67,41.153,-7.623
14,2,1950,6.43,41.153,-7.623
15,2,1950,6.95,41.153,-7.623
16,2,1950,10.469999,41.153,-7.623
17,2,1950,11.83,41.153,-7.623
18,2,1950,11.139999,41.153,-7.623
19,2,1950,12.78,41.153,-7.623
20,2,1950,10.639999,41.153,-7.623
21,2,1950,11.49,41.153,-7.623
22,2,1950,11.09,41.153,-7.623
23,2,1950,9.67,41.153,-7.623
24,2,1950,11.389999,41.153,-7.623
25,2,1950,6.33,41.153,-7.623
26,2,1950,8.25,41.153,-7.623
27,2,1950,9.139999,41.153,-7.623
28,2,1950,9.78,41.153,-7.623
1,3,1950,9.92,41.153,-7.623
2,3,1950,9.929999,41.153,-7.623
3,3,1950,10.83,41.153,-7.623
4,3,1950,11.62,41.153,-7.623
5,3,1950,11.9,41.153,-7.623
6,3,1950,12.82,41.153,-7.623
7,3,1950,12.07,41.153,-7.623
8,3,1950,11.21,41.153,-7.623
9,3,1950,12.12,41.153,-7.623
10,3,1950,11.73,41.153,-7.623
11,3,1950,10.51,41.153,-7.623
12,3,1950,9.67,41.153,-7.623
13,3,1950,10.3,41.153,-7.623
14,3,1950,11.32,41.153,-7.623
15,3,1950,9.76,41.153,-7.623
16,3,1950,9.34,41.153,-7.623
17,3,1950,12.559999,41.153,-7.623
18,3,1950,10.2,41.153,-7.623
19,3,1950,9.34,41.153,-7.623
20,3,1950,11.4,41.153,-7.623
21,3,1950,11.09,41.153,-7.623
22,3,1950,11.259999,41.153,-7.623
23,3,1950,13.429999,41.153,-7.623
24,3,1950,14.87,41.153,-7.623
25,3,1950,14.13,41.153,-7.623
26,3,1950,11.82,41.153,-7.623
27,3,1950,11.099999,41.153,-7.623
28,3,1950,10.99,41.153,-7.623
29,3,1950,11.58,41.153,-7.623
30,3,1950,9.63,41.153,-7.623
31,3,1950,8.53,41.153,-7.623
1,4,1950,9.78,41.153,-7.623
2,4,1950,10.48,41.153,-7.623
3,4,1950,11.45,41.153,-7.623
4,4,1950,11.36,41.153,-7.623
5,4,1950,13.259999,41.153,-7.623
6,4,1950,13.94,41.153,-7.623
7,4,1950,14.75,41.153,-7.623
8,4,1950,16.18,41.153,-7.623
9,4,1950,16.21,41.153,-7.623
10,4,1950,16.15,41.153,-7.623
11,4,1950,15.19,41.153,-7.623
12,4,1950,13.09,41.153,-7.623
13,4,1950,10.82,41.153,-7.623
14,4,1950,8.349999,41.153,-7.623
15,4,1950,7.6099997,41.153,-7.623
16,4,1950,6.91,41.153,-7.623
17,4,1950,10.5,41.153,-7.623
18,4,1950,11.53,41.153,-7.623
19,4,1950,10.23,41.153,-7.623
20,4,1950,9.91,41.153,-7.623
21,4,1950,10.92,41.153,-7.623
22,4,1950,12.33,41.153,-7.623
23,4,1950,12.469999,41.153,-7.623
24,4,1950,13.0,41.153,-7.623
25,4,1950,12.2699995,41.153,-7.623
26,4,1950,11.7699995,41.153,-7.623
27,4,1950,10.3,41.153,-7.623
28,4,1950,12.41,41.153,-7.623
29,4,1950,14.389999,41.153,-7.623
30,4,1950,13.929999,41.153,-7.623
1,5,1950,14.46,41.153,-7.623
