day,month,Year,tg,Lat,Lon
1,1,1950,7.91,41.189,-7.537
2,1,1950,7.22,41.189,-7.537
3,1,1950,7.3799996,41.189,-7.537
4,1,1950,8.83,41.189,-7.537
5,1,1950,5.17,41.189,-7.537
6,1,1950,4.0499997,41.189,-7.537
7,1,1950,4.97,41.189,-7.537
8,1,1950,10.809999,41.189,-7.537
9,1,1950,8.65,41.189,-7.537
10,1,1950,8.32,41.189,-7.537
11,1,1950,7.27,41.189,-7.537
12,1,1950,7.5299997,41.189,-7.537
13,1,1950,7.1,41.189,-7.537
14,1,1950,8.25,41.189,-7.537
15,1,1950,7.8999996,41.189,-7.537
16,1,1950,6.21,41.189,-7.537
17,1,1950,6.14,41.189,-7.537
18,1,1950,4.7999997,41.189,-7.537
19,1,1950,3.56,41.189,-7.537
20,1,1950,2.07,41.189,-7.537
21,1,1950,2.07,41.189,-7.537
22,1,1950,4.69,41.189,-7.537
23,1,1950,4.77,41.189,-7.537
24,1,1950,2.87,41.189,-7.537
25,1,1950,3.6499999,41.189,-7.537
26,1,1950,6.64,41.189,-7.537
27,1,1950,7.91,41.189,-7.537
28,1,1950,7.6099997,41.189,-7.537
29,1,1950,8.58,41.189,-7.537
30,1,1950,7.29,41.189,-7.537
31,1,1950,5.72,41.189,-7.537
1,2,1950,4.5099998,41.189,-7.537
2,2,1950,6.98,41.189,-7.537
3,2,1950,7.5099998,41.189,-7.537
4,2,1950,5.48,41.189,-7.537
5,2,1950,7.8799996,41.189,-7.537
6,2,1950,7.19,41.189,-7.537
7,2,1950,7.5699997,41.189,-7.537
8,2,1950,8.73,41.189,-7.537
9,2,1950,7.3999996,41.189,-7.537
10,2,1950,7.33,41.189,-7.537
11,2,1950,7.3199997,41.189,-7.537
12,2,1950,5.81,41.189,-7.537
13,2,1950,6.7599998,41.189,-7.537
14,2,1950,6.72,41.189,-7.537
15,2,1950,7.24,41.189,-7.537
16,2,1950,10.76,41.189,-7.537
17,2,1950,11.38,41.189,-7.537
18,2,1950,11.37,41.189,-7.537
19,2,1950,12.75,41.189,-7.537
20,2,1950,10.99,41.189,-7.537
21,2,1950,11.57,41.189,-7.537
22,2,1950,11.2699995,41.189,-7.537
23,2,1950,9.809999,41.189,-7.537
24,2,1950,11.559999,41.189,-7.537
25,2,1950,6.5099998,41.189,-7.537
26,2,1950,8.37,41.189,-7.537
27,2,1950,9.24,41.189,-7.537
28,2,1950,10.16,41.189,-7.537
1,3,1950,10.21,41.189,-7.537
2,3,1950,10.2699995,41.189,-7.537
3,3,1950,11.16,41.189,-7.537
4,3,1950,11.66,41.189,-7.537
5,3,1950,11.78,41.189,-7.537
6,3,1950,13.009999,41.189,-7.537
7,3,1950,12.2,41.189,-7.537
8,3,1950,11.32,41.189,-7.537
9,3,1950,12.32,41.189,-7.537
10,3,1950,12.0,41.189,-7.537
11,3,1950,10.679999,41.189,-7.537
12,3,1950,9.849999,41.189,-7.537
13,3,1950,10.7,41.189,-7.537
14,3,1950,11.5199995,41.189,-7.537
15,3,1950,10.0,41.189,-7.537
16,3,1950,9.58,41.189,-7.537
17,3,1950,12.91,41.189,-7.537
18,3,1950,10.51,41.189,-7.537
19,3,1950,9.55,41.189,-7.537
20,3,1950,11.509999,41.189,-7.537
21,3,1950,11.55,41.189,-7.537
22,3,1950,11.71,41.189,-7.537
23,3,1950,13.71,41.189,-7.537
24,3,1950,14.87,41.189,-7.537
25,3,1950,14.28,41.189,-7.537
26,3,1950,12.04,41.189,-7.537
27,3,1950,11.28,41.189,-7.537
28,3,1950,11.17,41.189,-7.537
29,3,1950,11.889999,41.189,-7.537
30,3,1950,9.889999,41.189,-7.537
31,3,1950,8.76,41.189,-7.537
1,4,1950,10.09,41.189,-7.537
2,4,1950,10.84,41.189,-7.537
3,4,1950,11.88,41.189,-7.537
4,4,1950,11.69,41.189,-7.537
5,4,1950,13.549999,41.189,-7.537
6,4,1950,14.17,41.189,-7.537
7,4,1950,14.929999,41.189,-7.537
8,4,1950,16.33,41.189,-7.537
9,4,1950,16.3,41.189,-7.537
10,4,1950,16.34,41.189,-7.537
11,4,1950,15.559999,41.189,-7.537
12,4,1950,13.5199995,41.189,-7.537
13,4,1950,11.059999,41.189,-7.537
14,4,1950,8.63,41.189,-7.537
15,4,1950,8.03,41.189,-7.537
16,4,1950,7.31,41.189,-7.537
17,4,1950,10.96,41.189,-7.537
18,4,1950,11.79,41.189,-7.537
19,4,1950,10.5199995,41.189,-7.537
20,4,1950,10.059999,41.189,-7.537
21,4,1950,11.13,41.189,-7.537
22,4,1950,12.759999,41.189,-7.537
23,4,1950,12.719999,41.189,-7.537
24,4,1950,13.389999,41.189,-7.537
25,4,1950,12.55,41.189,-7.537
26,4,1950,12.21,41.189,-7.537
27,4,1950,10.67,41.189,-7.537
28,4,1950,12.66,41.189,-7.537
29,4,1950,14.46,41.189,-7.537
30,4,1950,14.179999,41.189,-7.537
1,5,1950,14.74,41.189,-7.537
2,5,1950,16.44,41.189,-7.537
3,5,1950,17.77,41.189,-7.537
4,5,1950,17.23,41.189,-7.537
5,5,1950,17.64,41.189,-7.537
6,5,1950,17.56,41.189,-7.537
7,5,1950,17.42,41.189,-7.537
8,5,1950,15.759999,41.189,-7.537
