day,month,Year,tg,Lat,Lon
1,1,1950,7.81,41.166,-7.769
2,1,1950,7.41,41.166,-7.769
3,1,1950,7.91,41.166,-7.769
4,1,1950,8.94,41.166,-7.769
5,1,1950,5.42,41.166,-7.769
6,1,1950,4.5299997,41.166,-7.769
7,1,1950,5.64,41.166,-7.769
8,1,1950,11.03,41.166,-7.769
9,1,1950,9.389999,41.166,-7.769
10,1,1950,8.599999,41.166,-7.769
11,1,1950,8.11,41.166,-7.769
12,1,1950,7.8799996,41.166,-7.769
13,1,1950,7.44,41.166,-7.769
14,1,1950,8.48,41.166,-7.769
15,1,1950,8.17,41.166,-7.769
16,1,1950,6.46,41.166,-7.769
17,1,1950,6.02,41.166,-7.769
18,1,1950,5.17,41.166,-7.769
19,1,1950,4.08,41.166,-7.769
20,1,1950,2.1599998,41.166,-7.769
21,1,1950,2.54,41.166,-7.769
22,1,1950,4.79,41.166,-7.769
23,1,1950,4.8599997,41.166,-7.769
24,1,1950,3.1799998,41.166,-7.769
25,1,1950,3.98,41.166,-7.769
26,1,1950,7.27,41.166,-7.769
27,1,1950,8.16,41.166,-7.769
28,1,1950,7.81,41.166,-7.769
29,1,1950,8.33,41.166,-7.769
30,1,1950,7.5899997,41.166,-7.769
31,1,1950,5.85,41.166,-7.769
1,2,1950,4.92,41.166,-7.769
2,2,1950,7.49,41.166,-7.769
3,2,1950,7.93,41.166,-7.769
4,2,1950,5.75,41.166,-7.769
5,2,1950,8.3,41.166,-7.769
6,2,1950,7.6,41.166,-7.769
7,2,1950,7.83,41.166,-7.769
8,2,1950,8.57,41.166,-7.769
9,2,1950,7.45,41.166,-7.769
10,2,1950,7.47,41.166,-7.769
11,2,1950,7.23,41.166,-7.769
12,2,1950,5.97,41.166,-7.769
13,2,1950,7.14,41.166,-7.769
14,2,1950,6.92,41.166,-7.769
15,2,1950,7.29,41.166,-7.769
16,2,1950,10.929999,41.166,-7.769
17,2,1950,11.84,41.166,-7.769
18,2,1950,11.44,41.166,-7.769
19,2,1950,12.719999,41.166,-7.769
20,2,1950,10.74,41.166,-7.769
21,2,1950,11.58,41.166,-7.769
22,2,1950,11.2699995,41.166,-7.769
23,2,1950,10.11,41.166,-7.769
24,2,1950,11.67,41.166,-7.769
25,2,1950,6.69,41.166,-7.769
26,2,1950,8.639999,41.166,-7.769
27,2,1950,9.679999,41.166,-7.769
28,2,1950,9.83,41.166,-7.769
1,3,1950,10.389999,41.166,-7.769
2,3,1950,10.57,41.166,-7.769
3,3,1950,11.28,41.166,-7.769
4,3,1950,12.009999,41.166,-7.769
5,3,1950,12.19,41.166,-7.769
6,3,1950,13.13,41.166,-7.769
7,3,1950,12.71,41.166,-7.769
8,3,1950,11.679999,41.166,-7.769
9,3,1950,12.74,41.166,-7.769
10,3,1950,11.96,41.166,-7.769
11,3,1950,10.889999,41.166,-7.769
12,3,1950,9.82,41.166,-7.769
13,3,1950,10.32,41.166,-7.769
14,3,1950,11.58,41.166,-7.769
15,3,1950,10.099999,41.166,-7.769
16,3,1950,9.74,41.166,-7.769
17,3,1950,12.849999,41.166,-7.769
18,3,1950,10.59,41.166,-7.769
19,3,1950,9.8,41.166,-7.769
20,3,1950,11.8,41.166,-7.769
21,3,1950,11.33,41.166,-7.769
22,3,1950,11.2699995,41.166,-7.769
23,3,1950,13.639999,41.166,-7.769
24,3,1950,15.15,41.166,-7.769
25,3,1950,13.99,41.166,-7.769
26,3,1950,12.03,41.166,-7.769
27,3,1950,11.34,41.166,-7.769
28,3,1950,11.37,41.166,-7.769
29,3,1950,11.92,41.166,-7.769
30,3,1950,9.74,41.166,-7.769
31,3,1950,9.05,41.166,-7.769
1,4,1950,10.2,41.166,-7.769
2,4,1950,10.46,41.166,-7.769
3,4,1950,11.67,41.166,-7.769
4,4,1950,11.849999,41.166,-7.769
5,4,1950,13.59,41.166,-7.769
6,4,1950,14.2,41.166,-7.769
7,4,1950,14.799999,41.166,-7.769
8,4,1950,16.369999,41.166,-7.769
9,4,1950,16.25,41.166,-7.769
10,4,1950,16.26,41.166,-7.769
11,4,1950,15.309999,41.166,-7.769
12,4,1950,13.13,41.166,-7.769
13,4,1950,11.08,41.166,-7.769
14,4,1950,8.8,41.166,-7.769
15,4,1950,7.97,41.166,-7.769
16,4,1950,7.19,41.166,-7.769
17,4,1950,10.79,41.166,-7.769
18,4,1950,11.79,41.166,-7.769
19,4,1950,10.559999,41.166,-7.769
20,4,1950,10.15,41.166,-7.769
21,4,1950,11.2699995,41.166,-7.769
22,4,1950,12.5199995,41.166,-7.769
23,4,1950,12.759999,41.166,-7.769
24,4,1950,13.21,41.166,-7.769
25,4,1950,12.53,41.166,-7.769
26,4,1950,11.91,41.166,-7.769
27,4,1950,10.74,41.166,-7.769
28,4,1950,12.639999,41.166,-7.769
29,4,1950,14.5,41.166,-7.769
30,4,1950,13.99,41.166,-7.769
1,5,1950,14.5,41.166,-7.769
2,5,1950,16.609999,41.166,-7.769
3,5,1950,17.44,41.166,-7.769
4,5,1950,17.1,41.166,-7.769
5,5,1950,17.289999,41.166,-7.769
6,5,1950,17.33,41.166,-7.769
7,5,1950,17.02,41.166,-7.769
8,5,1950,15.74,41.166,-7.769
9,5,1950,13.549999,41.166,-7.769
10,5,1950,15.259999,41.166,-7.769
11,5,1950,16.21,41.166,-7.769
12,5,1950,14.839999,41.166,-7.769
13,5,1950,14.83,41.166,-7.769
14,5,1950,15.219999,41.166,-7.769
