day,month,Year,tg,Lat,Lon
1,1,1950,7.6099997,41.24,-7.755
2,1,1950,7.06,41.24,-7.755
3,1,1950,7.62,41.24,-7.755
4,1,1950,8.59,41.24,-7.755
5,1,1950,4.7799997,41.24,-7.755
6,1,1950,4.29,41.24,-7.755
7,1,1950,5.2999997,41.24,-7.755
8,1,1950,10.929999,41.24,-7.755
9,1,1950,8.87,41.24,-7.755
10,1,1950,8.16,41.24,-7.755
11,1,1950,7.73,41.24,-7.755
12,1,1950,7.5899997,41.24,-7.755
13,1,1950,7.0899997,41.24,-7.755
14,1,1950,8.21,41.24,-7.755
15,1,1950,8.08,41.24,-7.755
16,1,1950,6.06,41.24,-7.755
17,1,1950,5.81,41.24,-7.755
18,1,1950,4.8199997,41.24,-7.755
19,1,1950,3.6399999,41.24,-7.755
20,1,1950,1.75,41.24,-7.755
21,1,1950,2.1599998,41.24,-7.755
22,1,1950,4.24,41.24,-7.755
23,1,1950,4.33,41.24,-7.755
24,1,1950,2.6299999,41.24,-7.755
25,1,1950,3.6699998,41.24,-7.755
26,1,1950,6.7599998,41.24,-7.755
27,1,1950,8.01,41.24,-7.755
28,1,1950,7.35,41.24,-7.755
29,1,1950,8.13,41.24,-7.755
30,1,1950,7.3599997,41.24,-7.755
31,1,1950,5.73,41.24,-7.755
1,2,1950,4.33,41.24,-7.755
2,2,1950,6.94,41.24,-7.755
3,2,1950,7.87,41.24,-7.755
4,2,1950,5.5499997,41.24,-7.755
5,2,1950,8.059999,41.24,-7.755
6,2,1950,7.2999997,41.24,-7.755
7,2,1950,7.2,41.24,-7.755
8,2,1950,8.32,41.24,-7.755
9,2,1950,7.0099998,41.24,-7.755
10,2,1950,7.04,41.24,-7.755
11,2,1950,7.06,41.24,-7.755
12,2,1950,5.44,41.24,-7.755
13,2,1950,6.5499997,41.24,-7.755
14,2,1950,6.43,41.24,-7.755
15,2,1950,6.87,41.24,-7.755
16,2,1950,10.65,41.24,-7.755
17,2,1950,11.83,41.24,-7.755
18,2,1950,10.92,41.24,-7.755
19,2,1950,12.73,41.24,-7.755
20,2,1950,10.69,41.24,-7.755
21,2,1950,11.32,41.24,-7.755
22,2,1950,10.74,41.24,-7.755
23,2,1950,9.65,41.24,-7.755
24,2,1950,11.29,41.24,-7.755
25,2,1950,6.44,41.24,-7.755
26,2,1950,8.2,41.24,-7.755
27,2,1950,9.639999,41.24,-7.755
28,2,1950,9.16,41.24,-7.755
1,3,1950,10.23,41.24,-7.755
2,3,1950,9.849999,41.24,-7.755
3,3,1950,10.719999,41.24,-7.755
4,3,1950,11.74,41.24,-7.755
5,3,1950,12.0199995,41.24,-7.755
6,3,1950,12.63,41.24,-7.755
7,3,1950,12.53,41.24,-7.755
8,3,1950,11.46,41.24,-7.755
9,3,1950,12.2699995,41.24,-7.755
10,3,1950,11.7,41.24,-7.755
11,3,1950,10.4,41.24,-7.755
12,3,1950,9.61,41.24,-7.755
13,3,1950,9.969999,41.24,-7.755
14,3,1950,11.29,41.24,-7.755
15,3,1950,9.719999,41.24,-7.755
16,3,1950,9.11,41.24,-7.755
17,3,1950,12.62,41.24,-7.755
18,3,1950,10.08,41.24,-7.755
19,3,1950,9.42,41.24,-7.755
20,3,1950,11.54,41.24,-7.755
21,3,1950,11.05,41.24,-7.755
22,3,1950,10.98,41.24,-7.755
23,3,1950,13.32,41.24,-7.755
24,3,1950,14.73,41.24,-7.755
25,3,1950,14.0,41.24,-7.755
26,3,1950,11.73,41.24,-7.755
27,3,1950,10.99,41.24,-7.755
28,3,1950,10.96,41.24,-7.755
29,3,1950,11.53,41.24,-7.755
30,3,1950,9.58,41.24,-7.755
31,3,1950,8.44,41.24,-7.755
1,4,1950,9.65,41.24,-7.755
2,4,1950,10.11,41.24,-7.755
3,4,1950,11.17,41.24,-7.755
4,4,1950,11.33,41.24,-7.755
5,4,1950,13.16,41.24,-7.755
6,4,1950,13.78,41.24,-7.755
7,4,1950,14.7,41.24,-7.755
8,4,1950,15.969999,41.24,-7.755
9,4,1950,15.9,41.24,-7.755
10,4,1950,15.7699995,41.24,-7.755
11,4,1950,15.089999,41.24,-7.755
12,4,1950,12.849999,41.24,-7.755
13,4,1950,10.46,41.24,-7.755
14,4,1950,8.19,41.24,-7.755
15,4,1950,7.5299997,41.24,-7.755
16,4,1950,6.8199997,41.24,-7.755
17,4,1950,10.34,41.24,-7.755
18,4,1950,11.41,41.24,-7.755
19,4,1950,10.17,41.24,-7.755
20,4,1950,10.08,41.24,-7.755
21,4,1950,11.12,41.24,-7.755
22,4,1950,12.059999,41.24,-7.755
23,4,1950,12.24,41.24,-7.755
24,4,1950,12.84,41.24,-7.755
25,4,1950,12.11,41.24,-7.755
26,4,1950,11.59,41.24,-7.755
27,4,1950,10.08,41.24,-7.755
28,4,1950,12.16,41.24,-7.755
29,4,1950,13.929999,41.24,-7.755
30,4,1950,13.849999,41.24,-7.755
1,5,1950,14.25,41.24,-7.755
2,5,1950,16.27,41.24,-7.755
3,5,1950,17.16,41.24,-7.755
4,5,1950,16.89,41.24,-7.755
5,5,1950,17.17,41.24,-7.755
6,5,1950,17.15,41.24,-7.755
7,5,1950,16.71,41.24,-7.755
8,5,1950,15.15,41.24,-7.755
9,5,1950,13.12,41.24,-7.755
10,5,1950,14.82,41.24,-7.755
11,5,1950,15.75,41.24,-7.755
12,5,1950,14.61,41.24,-7.755
13,5,1950,14.36,41.24,-7.755
14,5,1950,14.78,41.24,-7.755
15,5,1950,14.34,41.24,-7.755
16,5,1950,12.849999,41.24,-7.755
17,5,1950,13.679999,41.24,-7.755
18,5,1950,14.259999,41.24,-7.755
19,5,1950,13.679999,41.24,-7.755
20,5,1950,15.94,41.24,-7.755
21,5,1950,12.82,41.24,-7.755
22,5,1950,11.0199995,41.24,-7.755
23,5,1950,11.44,41.24,-7.755
